Unnamed: 0,overall,reviewText
0,4.0,issue
1,5.0,purchased device worked advertised never much phone memory since download lot stuff brainer
2,4.0,work expected sprung higher capacity think made bit cheesier earlier version paint look clean
3,5.0,think worked greathad diff bran gb card went south monthsthis one held pretty well since note update ive month zero issue since transferred note note card reliable solidcheers
4,5.0,bought retail packaging arrived legit orange envelope english version asian like picture show arrived quickly bought retail packaging htc one sv lg optimus card working order probably best price youll get nice sd card
5,5.0,mini storage doesnt anything else supposed purchased add additional storage microsoft surface pro tablet come gb supposed sandisk long standing reputation speaks
6,5.0,phone never skip beat file transfer speedy corruption issue memory fade issue would expect sandisk brand great card entrust precious file slightly cheaper piece crap lose everything forgive spending extra couple buck trusted product go good qa
7,5.0,hard believe affordable digital become gb device one quarter sie postage stamp would science fiction less generation agoi picked portable music didnt want schlep risk phone ipod work great sd card readersselect confidence
8,5.0,work htc rezound running short space gb sandisk ordered came fast issue
9,5.0,galaxy super fast card totally happy happy still type fill required word though
10,5.0,like sd card take music video downloads personal video filesdocs multimedia image fast transfer rate class speed take game large file easily still enough space apps great video camera camcorder supplied adapter fit easily smartphones tablet sd card slot recommend gb sd card everyone
11,3.0,work file writes bit slower expected usb readeralso read writes faster card inside standardsize sd adapter mb v write mb v mb read card reader cant figure
12,5.0,name speaks go sandisk go
13,5.0,solid sdhc card fast reading writing fast recording video pic great capacity reasonably priced issue itoverall highly recommend
14,5.0,heard card write speed insufficient however used extensively havent single problem
15,5.0,bought use go pro hero black edition requires class microsdxc card far ive issue fast readwrite came adapter small packaging thats needed come nice hard plastic case keep dry together needed
16,5.0,got gb one filled kept getting insufficient disk space phone kid take phone selfies mostly daughter get bigger card gb one carry old phoneneedless say sweet plenty space dont delete picture anymore well leastmy daughter love selfies
17,5.0,class speed rating seamless full hd videothe sandisk ultra uhsi card feature class uhs speed class u rating highest video performance available recording uninterrupted full hd videoflawless app performancethis card retrieve stored data almost instantly thanks mb read capability fast bus interface sandisk ultra microsdhc microsdxc uhsi card offer faster app loading smoother fluid app performancestorage capacity gbthis card plenty room accommodate full hd video mp apps memoryintensive mobile file available size gb store apps music video wantandroid app easy file managementthe included sandisk memory zone app let easily view access backup digital file phone memory additional memory card cloud service one convenient place using app easily move file card number cloud storage servicesdurable designsandisk ultra uhsi memory card capture memory degree fahrenheit shockproof waterproof xrayproof design mobile device may survive sandisk memory card
18,5.0,read write speed better samsung sd card previously would hesitate buy another one great micro sd card sandisk also clip plus mp player work well think im becoming fan sandisk product
19,5.0,work nl video stuttering like gb blah blah blah blah fill rest
20,5.0,work expected high transfer speed nice extra microsd adapter lying around since always seem misplace mainly bought use nikon dslr since put card directly cm modded nook hd tablet field view image larger screen
21,5.0,work great samsung galaxy formatted straight away full size cant really tell speed difference one slower card replaced guess io phone cant take advantage
22,5.0,sandisk never disappoints always sandisk product worth every penny nice product quality work great recommend product everyone
23,5.0,good price work flawless samsung normal sandisk quality go brand brand
24,5.0,san disk hard beat pay brand get quality product would purchase
25,5.0,installed blackberry q sqn formatted work fine plenty storage space picture video son park
26,5.0,received card class gb correct serialsdsdquagaa received unopened sandisk packaging going use htc rezound hope work read work reformatting disk update review issue using rating remain unchanged
27,5.0,stuck formatted setting work great already filled music pic video get card format right youll problem phone wont right got samsung haha
28,5.0,purchased two one samsung tablet one samsung galaxy note great hardware truly speedy responsive meet need
29,5.0,advertised spec match long device using handle ie usb crapple b delivers advertised speed p speed read write knew right
30,5.0,item great cant believe small imagine gb size back whole building full computer couldnt pack much space great item
31,5.0,ive trying get hold gb micro sd phone tablet pretty fast compared gb card ive using really saw performance boost phone many apps picture music document phone boot fully stable min apposed min computer also write card much faster gb one using phone tablet device support recommend purchase also pay like half price using amazon opposed retail store who price least double ive seen card going area
32,1.0,bought sandisk gb microsd used galaxy note galaxy sfirst one phone started saying removed recognize diedi thought luck plugged nd one stayed month died suddenly lost everythingnever buying sandisk ever
33,4.0,memory card excellent condition work described dependable easy use excellent choice enthusiast requires storage
34,5.0,ive got couple varying size ive problem complaint speed always end buying price low get
35,5.0,gig memory note running room much memory space available dont know
36,5.0,bought surface pro ive month ive problem fast stable
37,5.0,would recommend card everyonedata transfer speed excellent card galaxy didnt need format card anything satisfied
38,1.0,bougth micro sd card trubles got kingston tell sandisk quality best phone read gb fast dta transfer speed pc amazing looking additional storage phone music picture type file youprosvery good quality material constructionamazing speedupdate one year memory damaged delete put new file format memory tried format phone pc camera nothing like gb cd data memory available read move delete bought memory used backup data android device readable memory write data hope sandisk make better product future total disagree buy samsung memory card expected better quality
39,5.0,using contout gps camera dont waste time buying brand waste buy best start
40,5.0,fantastic little drive gigabyte say work way discern use hold flac recording play excellent fiio x digital audio player real thing one fake evidently
41,5.0,happy micro sd could tell difference response time bb curve well asus tablet want something transfer file photo video music faster micro sd card say faster card price trick device professional photographer might want go ultra micro sd everyday user work wonder device
42,5.0,ive purchased several little baby year always buy sandisk ive never one fail price great amount storage get
43,1.0,ordered galaxy lasted month broke accessible several different pcssays limited lifetime warranty b one month eco zone lose picture crappy return policyin future buying kingston sandiskupdate amazon customer service made good refunded purchase price still buying sandisk memory card however
44,4.0,like mb note thats using sandisks app bit faster note ii still disappointment device quad core processor sure card device benefit doubt four star
45,5.0,much say plug play good quality fit lot video good good good
46,5.0,new camcorder required fast sd micro sandisk product always provided first class service extra cost well worth
47,5.0,tiny marvel claim possible problem small may lose happen drop handling gb capacity wont handling often
