Unnamed: 0,overall,reviewText
0,4.0,issu
1,5.0,purchas devic work advertis never much phone memori sinc download lot stuff brainer
2,4.0,work expect sprung higher capac think made bit cheesier earlier version paint look clean
3,5.0,think work greathad diff bran gb card went south monthsthi one held pretti well sinc note updat ive month zero issu sinc transfer note note card reliabl solidch
4,5.0,bought retail packag arriv legit orang envelop english version asian like pictur show arriv quickli bought retail packag htc one sv lg optimu card work order probabl best price youll get nice sd card
5,5.0,mini storag doesnt anyth els suppos purchas add addit storag microsoft surfac pro tablet come gb suppos sandisk long stand reput speak
6,5.0,phone never skip beat file transfer speedi corrupt issu memori fade issu would expect sandisk brand great card entrust preciou file slightli cheaper piec crap lose everyth forgiv spend extra coupl buck trust product goe good qa
7,5.0,hard believ afford digit becom gb devic one quarter sie postag stamp would scienc fiction less gener agoi pick portabl music didnt want schlep risk phone ipod work great sd card readersselect confid
8,5.0,work htc rezound run short space gb sandisk order came fast issu
9,5.0,galaxi super fast card total happi happi still type fill requir word though
10,5.0,like sd card take music video download person video filesdoc multimedia imag fast transfer rate class speed take game larg file easili still enough space app great video camera camcord suppli adapt fit easili smartphon tablet sd card slot recommend gb sd card everyon
11,3.0,work file write bit slower expect usb readeralso read write faster card insid standards sd adapt mb vs write mb vs mb read card reader cant figur
12,5.0,name speak go sandisk go
13,5.0,solid sdhc card fast read write fast record video pic great capac reason price issu itoveral highli recommend
14,5.0,heard card write speed insuffici howev use extens havent singl problem
15,5.0,bought use go pro hero black edit requir class microsdxc card far ive issu fast readwrit came adapt small packag that need come nice hard plastic case keep dri togeth need
16,5.0,got gb one fill kept get insuffici disk space phone kid take phone selfi mostli daughter get bigger card gb one carri old phoneneedless say sweet plenti space dont delet pictur anymor well leastmi daughter love selfi
17,5.0,class speed rate seamless full hd videoth sandisk ultra uhsi card featur class uh speed class u rate highest video perform avail record uninterrupt full hd videoflawless app performancethi card retriev store data almost instantli thank mb read capabl fast bu interfac sandisk ultra microsdhc microsdxc uhsi card offer faster app load smoother fluid app performancestorag capac gbthi card plenti room accommod full hd video mp app memoryintens mobil file avail size gb store app music video wantandroid app easi file managementth includ sandisk memori zone app let easili view access backup digit file phone memori addit memori card cloud servic one conveni place use app easili move file card number cloud storag servicesdur designsandisk ultra uhsi memori card captur memori degre fahrenheit shockproof waterproof xrayproof design mobil devic may surviv sandisk memori card
18,5.0,read write speed better samsung sd card previous would hesit buy anoth one great micro sd card sandisk also clip plu mp player work well think im becom fan sandisk product
19,5.0,work nl video stutter like gb blah blah blah blah fill rest
20,5.0,work expect high transfer speed nice extra microsd adapt lie around sinc alway seem misplac mainli bought use nikon dslr sinc put card directli cm mod nook hd tablet field view imag larger screen
21,5.0,work great samsung galaxi format straight away full size cant realli tell speed differ one slower card replac guess io phone cant take advantag
22,5.0,sandisk never disappoint alway sandisk product worth everi penni nice product qualiti work great recommend product everyon
23,5.0,good price work flawless samsung normal sandisk qualiti go brand brand
24,5.0,san disk hard beat pay brand get qualiti product would purchas
25,5.0,instal blackberri q sqn format work fine plenti storag space pictur video son park
26,5.0,receiv card class gb correct serialsdsdquagaa receiv unopen sandisk packag go use htc rezound hope work read work reformat disk updat review issu use rate remain unchang
27,5.0,stuck format set work great alreadi fill music pic video get card format right youll problem phone wont right got samsung haha
28,5.0,purchas two one samsung tablet one samsung galaxi note great hardwar truli speedi respons meet need
29,5.0,advertis spec match long devic use handl ie usb crappl bs deliv advertis speed ps speed read write knew right
30,5.0,item great cant believ small imagin gb size back whole build full comput couldnt pack much space great item
31,5.0,ive tri get hold gb micro sd phone tablet pretti fast compar gb card ive use realli saw perform boost phone mani app pictur music document phone boot fulli stabl min appos min comput also write card much faster gb one use phone tablet devic support recommend purchas also pay like half price use amazon oppos retail store who price least doubl ive seen card go area
32,1.0,bought sandisk gb microsd use galaxi note galaxi sfirst one phone start say remov recogn diedi thought luck plug nd one stay month die suddenli lost everythingnev buy sandisk ever
33,4.0,memori card excel condit work describ depend easi use excel choic enthusiast requir storag
34,5.0,ive got coupl vari size ive problem complaint speed alway end buy price low get
35,5.0,gig memori note run room much memori space avail dont know
36,5.0,bought surfac pro ive month ive problem fast stabl
37,5.0,would recommend card everyonedata transfer speed excel card galaxi didnt need format card anyth satisfi
38,1.0,bougth micro sd card trubl got kingston tell sandisk qualiti best phone read gb fast dta transfer speed pc amaz look addit storag phone music pictur type file youprosveri good qualiti materi constructionamaz speedupd one year memori damag delet put new file format memori tri format phone pc camera noth like gb cd data memori avail read move delet bought memori use backup data android devic readabl memori write data hope sandisk make better product futur total disagre buy samsung memori card expect better qualiti
39,5.0,use contout gp camera dont wast time buy brand wast buy best start
40,5.0,fantast littl drive gigabyt say work way discern use hold flac record play excel fiio x digit audio player real thing one fake evid
41,5.0,happi micro sd could tell differ respons time bb curv well asu tablet want someth transfer file photo video music faster micro sd card say faster card price trick devic profession photograph might want go ultra micro sd everyday user work wonder devic
42,5.0,ive purchas sever littl babi year alway buy sandisk ive never one fail price great amount storag get
43,1.0,order galaxi last month broke access sever differ pcssay limit lifetim warranti bs one month eco zone lose pictur crappi return policyin futur buy kingston sandiskupd amazon custom servic made good refund purchas price still buy sandisk memori card howev
44,4.0,like mb note that use sandisk app bit faster note ii still disappoint devic quad core processor sure card devic benefit doubt four star
45,5.0,much say plug play good qualiti fit lot video good good good
46,5.0,new camcord requir fast sd micro sandisk product alway provid first class servic extra cost well worth
47,5.0,tini marvel claim possibl problem small may lose happen drop handl gb capac wont handl often
48,5.0,job price right came quickli im happi purchas would recommend would
49,2.0,use month phone decid quit mount lost pictur pet die shortli got replac card send old one give chanc recov content new one work fine fail month inexcus
50,5.0,memori card either work doesnt alway go one star five star review middl groundth adapt nice bonu though dont think anyth use
51,5.0,purchas card use contourroam work great put card camera format good go allow easili record hour pfp video without run space slow
52,5.0,upgrad gb gb card galaxi note phone look like work fine full capac good product
53,4.0,everyth great except adapt tight use tool take back adapt caus chip fault guess also bought gb version adapt one fine
54,5.0,like first one purchas much bought second one fast read write speed good price plu sandisk best softwar devic compat forget thumb drive flexibl durabl option use direct tablet smart phone andor buy decent usb card reader load voila instant superspeedi upgrad thumb drive work great tablet newer card reader still kick butt everi thumb drive know even use old plastic usb card reader held togeth scotch tape lol purchas sever microsd card sinc first came gb gb still work fine cannot say thumb drive purchas time periodon point bewar counterfeit samsung number one brand unfortun get counterfeit lot check review buy reliabl seller suggest buy direct amazon memori mogul purchas issu
55,5.0,realli cant say anyth bad say super fast great storag size lot movi
56,4.0,use phone plenti fast work like unexpectedli come mini full sd card size adapt nice foolproof packag whatev laughabl packag decent shouldnt brag imposs mess mess
57,5.0,standard micro sd card would recommend anyon purchas dad use expand memori tablet ship fast slight bit cheaper store believ
58,5.0,order new samsung galaxi note ii work awesom instal problem load music didnt even scratch surfac capac card shouldnt ever worri run outta room card highli recommend smartphon user
59,5.0,great deal much faster file movementdefinit worth purchas sandisk prove good product
60,5.0,youll pay anywher els initi leeri buy anoth sd card amazon year ago card fake said gig plug comput could load onto would say full appar there way fool comput think there space fakecounterfeit card donot one real deal genuin sandisk contain mani gb say im pleas custom
61,5.0,use samsung galaxi almost year problem realli expand memori capabl easi enough instal
62,5.0,gb storag new asu tablet what love cant imagin pay model upgrad storag especi sinc usual like thing cheap work great
63,5.0,excel qualiti excel speed complaint easi use reliabl red stripe front make easi find crowd desk
64,3.0,card advertis uh actual uhsthi mean go sdr speedsthroughputnot necessari bad fals advertis
65,5.0,purchas hp tablet memori music download pictur video enough room store memori left
66,5.0,anyth wrong sandisk product item read sooooo quickli quit happi
67,5.0,lot peopl want big memori fine need look speed class one class great take pictur video freez move mb fast enough lesser speed card freez say wait camera miss moment also sandisk name trust come memori card
68,5.0,fast transfer rate download gb video form card laptop card reader minut
69,5.0,someth said sandisk plug work ive never one doa memori issu throughout year camera storag product instal galaxi siii recogn right away abl dump music onto speed seem great well complaint
70,5.0,prais extra memori fill mp player everi song heart desir sound qualiti perfect eas use superb great
71,5.0,though state gig gig avail know happen expect keep mind want storag might want order gig card exactli expect need complaint
72,5.0,job advertisedif need extra memori phonetablet whatev devic bext buypricequ
73,5.0,need cell phone work perfectli sandisk never disappoint plu year ive itcomput work
74,5.0,price right memori card also read write fast notic differ cheaper card put phone plan buy anoth one tablet
75,5.0,work great sprint htc evo g lte format w fat cours maximum file size gb mean full length hidef movi howev isnt problem bought card put music librari phonelik class microsdhc card mb closer class card ive ever tri mb kingston gb mb card mbscant wait till gb gb card becom avail afford
76,5.0,updat gb card stop allow write via cardread window pceither insid sever fullsiz sd card adapt writeprotect tab either posit plug directli microsd slot reader microsd card writeprotect tab quit surpris worri fail find workabl solut search onlin final put chromebook creat new folder stuck back window pc longer gave writeprotect error anyon similar problem id recommend someth similar put pc laptop camera etc avail tri write therethi portion review necessarili written updat origin review gb version card sinc amazon disallow multipl review consid item portion concern gb version cardi dont need fast card speed card import besid test pc exactli highend therefor didnt count speed result got use usb card adapt thought might relev reader card reach class andor uhsi requir came claim read speed mb fast file transfer run second pc use differ usb card reader none speed even hit mb seem highli systemdependenti got card week far work select sdxccompat devic exfatcompat oper system sdxccompat devic panason hdctm allow card larger gb whatev reason state manual ive confirm card recogn brokencorruptunus devic wherea gb exfat card work fine gb work fine origin exfat format toshiba excit android tablet predict nonsdxccompat galaxi note though possibl would reformat fat sinc gb card fat work fine thereil updat review reflect problem issu etc notic come day weekscrystaldiskmark c hiyohiyocryst dew world url remov per amazon rule mb byte sata bytessequenti read mbssequenti write mbsrandom read kb mbsrandom write kb mbsrandom read kb qd mb iopsrandom write kb qd mb iopsrandom read kb qd mb iopsrandom write kb qd mb iopstest mb g gb xdate os window xp profession sp build xthe follow origin review gb version card publish april highqual card ive use varieti devic multipl reader differ pc hd camcord use micro fullsiz sd adapt ive never problem even work full capac microsdhconli devic reformat fat sandisk clip flac player supposedli even psp via proper adapt though havent yet test psp keep anticip someon come card equal better capac speed compar price havent seen one yet cheaper id sever nowmak sure devic handl micro fullsiz sdxc card one rare gem state support high sdhc test work sdxc card one theyv manual reformat fat
77,5.0,work great phone wife love got second mom store lot pictur video
78,5.0,load card home movi samsung galaxi tab copi process comput card fast skip movi qualiti plenti room left go wish bought anoth collect
79,5.0,bought load season futurama full length hd movi sever documentari dozen minut comedi show plenti room left pictur etconli slight nitpick boot recoveri mode recogn card want updat phone latest version android would see resort gb microsd lay around wasnt sd card issu thought would throw
80,5.0,purchas wife bought samsung galaxi store music pictur video camera capabl captur megapixel photo gb microsd suffic matter fact ive alreadi exhaust remain space card gb allow take photo son
81,5.0,great storag fail yet year usag
82,5.0,sinc wife use caus problem must function normal look good far
83,5.0,class speed way fli gb usabl space think good
84,5.0,subject say suppos great price sale buy
85,5.0,lot question memori card fit samsung galaxi tab tablet fit work problem thing instal instead show gb avail show gbtri format card resultshav idea limit set galaxi tab tablet normal buy gb get less thata sure problem come sandisk memori card rate star excel price work great quick deliveri
86,5.0,come kind flash storag sandisk alway go brand sell qualiti item stand there problem usual complaint work descri havent issu read write speed right spec say
87,5.0,high speed high capac storag great durabl use phone digit camera work good
88,5.0,memori help keep want keep cell phoneit good brand right price
89,4.0,bought sd card android phone think class faster reliabl other turn differ class doesnt realli matter least android phone didnt realli worth price differ
90,5.0,sandisk gb micro sd class reliabl sd card amaz transfer speed notic lag transfer even largest raw imag hadnt problem
91,4.0,good card work describ havent issu go pass metal detector lost file miss file
92,5.0,bought store music phone work flawlessli three month far problemsin card reader averag megabyt read write
93,5.0,im amaz order amazon tuesday morn arriv wednesday mail impress servic amazona alreadi report card format gb perform perfectli samsung galaxi iii also new use two card reader fast pc transfer everyth old gb card new gb card less time took walk kitchen get cup coffe think class rate correct cardonc experi card phone ill benchmark card ill also benchmark oper intern back android phone card ill updat review accur numer data mean time first look person said problem anyth faster class may correct full backup phone card significantli faster backup old gb class card benchmark yet ill includ hereright im happi card im realli impress card unbeliev quick servic amazon im atlanta shipment like one often take full day arriv
94,5.0,excel one best cant go wrong card class necessari show notic signific improv class
95,5.0,bought gb microsd card best buy need one microsoft surfac pro provid space need peopl need lot space video quick book pictur edit game etc card one dont need much space consid buy one cheaper littl less memorynot awar microsdxc format card new comput support format mani older comput includ tablet smartphon buy make sure comput tablet smartphon compat work period other claim card doesnt work matter tri chanc machin cannot support microsdxc format
96,4.0,got couldnt pass deal incred fast htc sensat g pictur taken save instantan day happi ship fast packag easi open alway great book issu format comput first phone abl recogn
97,5.0,get lot storag small price micro sd adapt class fast happi purchas hope review help
98,5.0,ultra micro sdhc fine got work neither packag sansa clip player inform user player need total microcard insert unit read card otherwis love storag even gb let alon tremend
99,5.0,upgrad price drop origin gig sandisk card mytouch g found toward mytouch gs end life space run low got galaxi bought card work flawlessli highli recommend error ever super fast transfer rate
100,5.0,item price right fit right cell phone without issu suppos dont know els could say class suppos plenti fast cell phone use sure speed camera use degre work well ship fast
101,4.0,got memori card samsung galaxi run room sandisk gb class micro sd card also want faster durabl card hop put lot media addit nandroid backup custom rom later found sinc card format exfat would work make nandroid backup flash custom rom custom recoveri custom rom dont work exfat choic format card fat meant couldnt put file larger gb besid card great reason price one doesnt root phone put custom rom nandroid backup put file larger gb affect memori card fast provid storag put mobil devic time card also water proof shock proof come lifetim warranti ive never issu sandisk memori card usb flash drive last realli long time
102,5.0,use includ adaptor macbook pro transfer file impress speed card
103,5.0,got store movi music samsung note iiinot much say memori card except work expect
104,5.0,purchas version expand memori gb android tablet noth fanci job problem play back flawlessli file transferredther mani differ microsd card see sale might want consid instead cheaper nonam brand
105,5.0,ive order sd card one best overal ship excel fast reliabl would recommend anyon look qualiti product thank
106,5.0,use phone work total worth money great place store pictur music phone instead use phone memori still run fast
107,4.0,bought two one asu infin one samsung galaxi intern version work fine asu didnt work phone format card use phoneth tablet laptop didnt work test app use app noth show work way got work format canon slr camera
108,2.0,work actual rw speed mb even class market sandisk basic sandisk ultra unless mean ultra slow excus slow card sandisk updat redon test notepro instead use non uhsi pc latest result mb sinc read speed hit believ devic dhsi readi still underwhelm write speed though
109,4.0,sandisk ultra gb microsdhc cuh memori card adaptersandisk ultra gb microsdhc cuh memori card adapterwork fine
110,5.0,great ad ton storag smartphon devic fast enough need price right
111,5.0,cant possibl go wrong san disc product although purchas son use san disc past never disappoint
112,3.0,job fairli cheap worth return first one exchang anoth first one defect sandisk realli need better qualiti assur product second one work perfectli fine use gopro camera
113,4.0,bought son tablet cartoon video movi game download he yr theyll small simpl game
114,5.0,bought friend mine put video initi plug comput couldnt find storag directori howev find micro sd usb adapterbingo work like charm instal video plug card phone racesnot sure need adapt couldnt get comput recogn also use linux os go figur
115,5.0,sandisk ultra gb micro card great addit maxim samsung galaxi iii whatev version got gb gb fast memori great price plenti space pictur video android applic good video galaxi iii use super fast got advanc smartphon market memori get right price
116,5.0,instal samsung tablet tab definit perform differ tablet especi load app
117,5.0,memori work samsung smartphon fast memorysandisk reliabl memori market
118,5.0,love good qualiti good perform great brand could find better product money use samsung galaxi mini zero complic
119,5.0,product arriv two day prime exactli order work great galaxi know class exactli need cell phone cannot hurt right im happi purchas
120,5.0,expand samsung tab tablet gb gb work fast dont see lag store ten movi tab play right flash disc problemsveri happi card
121,5.0,updat provid updat regard sandisk supporti bought memori card aug see origin review may cruis alaska card went bad sail san francisco fine use take panorama shot golden gate bridg cruis use dslr next time want use cell phone phone told memori card load way test card laptop got back couldnt recogn contact sandisk via email provid copi receipt amazon along serial number back card hard read problem told send back card sent brand new card still function cell phone great support provid sandisk hassl long provid proof purchas easi sinc amazon keep entir purchas historyinvoic onlin one reason buy directli amazon vs vendor either amazon elsewher internet confid memori card sold amazon genuin may incred deal elsewher internet case deal good true counterfeit card soldorigin reviewjust receiv today remov packag insert samsung galaxi verizon power unit back storag avail format requir work first time set show gb total space gb version gb free space like fact sd adapt came ever need insert card laptop come handi ye plug phone directli laptop ever swap gb card phone replac gb version use gb version via adapt purpos
122,3.0,still dont feel fast phone guess need remov run rw test still ok
123,2.0,bought gb version card use gopro hero black edit didnt work card work ok camera set resolut lower bit rate eg work fine p protun p protun howev p protun bitrat shi mb mode much higher protun turn noth troubl camera would sometim work sometim randomli stop record obviou reason first suspect camera test differ sd card end sandisk card fault spare card old cheap gb pni also class work fine condit camera settingsonc obviou problem card found peopl gopro forum troubl specif card well well alway find figur right anyhow speed test card simpl write gb file full zero use unix dd util copi gb zero devzero els would find mani zero onto file card result averag sandisk card would manag mb bare bar class card howev averag gb write test speed oscil mani spike drop drop low mb uh thought write speed class card never dip mb comparison old cheap class pni card chug along constant mb test spike drop speedth card probabl work fine devic bitrat record p video often low enough andor camera might huge buffer want use record video high bitrat devic doesnt huge buffer compens speed bump card may run troubl wari use hero mode higher bit rate eg p protun enabledsandisk websit list part number sdsdquig adapt sdsdquag without adapt conflict product descript amazon like amazon get product descript right bit common thing interest noteupd apr number test card test extrem simpl write gb zero onto card use standard unix dd command read kb block zero special devic devzero write onto card kb gb dd display transfer stat finish dd run run iostat second termin display second interv stat measur current speed done mac dd command line use asi repeat test linux system howev iostat command differ linux would need modifi slightli choos kb block size seem devic driver merg sequenti write anyhow use differ block size result compar dd ifdevzero oftest bs count record record byte transfer sec bytessecso mb good right wrong iostat run parallel dd command record iostat w diskdiskkbt tp mb dd finish write gb zero card imo last column never dip mb card label classfor comparison test run samsung pro gb microsd card dd ifdevzero oftest bs count record record byte transfer sec bytessec iostat w diskdiskkbt tp mb dd finish write gb zero card samsung averag x faster importantli speed much constant critic import never dip mb
124,5.0,els say sandisk ultra gb micro sd xc perfect sandisk card
126,5.0,husband bought gopro use record vacat mexico still half space left
127,5.0,item ive use month record hd video gopro hero without problem
128,5.0,third purchas theyv work fine far instal smart phone camera even use portabl storag devic notic issu good product
129,5.0,love littl guy super fast lot space storag plug enjoy
130,5.0,bought gopro hero camera silver editionwork without problem fastwa pleasantli surpris good qualiti memori card adapt turn laptop directli
131,5.0,great addit smart phone huge capac store data also pretti fast record video lag record
132,5.0,micro sd card well made great read write speed ad gray amount memori samsung galaxi realli recommend
133,5.0,bought item use gopro hero sell gopro websit lot cheaper amazon yet problem card
134,5.0,work perfectli fair price immedi recogn devic use good purchas
135,5.0,need littl format yet see sandisk fail dont cut corner almost everi brand sd card fail except tri numer brand devicesjust rememb take bit devic buffer inform sd card static corrupt sd card usual easili fix format alway back document pcmac soon possibleoh creat playlist slideshow etc devic remov sd card devic smart enough recompil put sd card back end blank playlist even though song watch outlastli sd card doesnt work whatev reason googl sd card format help gb version dont seem format issu like gb one even format fat fix
136,5.0,sandisk compani trust offer good product low pricecom adapt small case get full sd card size keep get lost use
137,5.0,appear class hold much say came sd card adapt even gave option forgo ridicul plastic packag know hate one scissor refus cut end hurt time get open complet advertis
138,5.0,bought card gopro hero work fine peopl said problem card new gopro problem micro card work anyth also take standard card due includ adapt
139,5.0,alway good experi sandisk product price well instal wife cell phone immedi recogn quit sure featur chip suppos amount memori good deal extra featur
140,5.0,come nice littl adapt microsdhc use normal size sd card also pretti neatconsid price gb pretti reason class fast hd p video record dslr camerai bought use gopro take pictur video work great didnt give anycorrupt file video pictur yet work pretti good sandisk pretti reliabl brand wont abl go wrong
141,5.0,great valu plenti storag phone tablet look around realli good deal
142,5.0,ship fast work realli well use case take lot photo load fast
143,1.0,old sandisk sd card still work thought new card would reliabl wrongth microsd card fail yesterday insid phone use adapt connect comput wouldnt mounti bought directli amazon third parti vendor know genuin sandisk
144,5.0,best price anywher
145,5.0,bought memori card samsung note ami realli happi recommend product pleas
146,5.0,ship fast product great qualiti great pricingi like manufactur go order deviceslot space
147,4.0,far good bought samsung micro sd card bestbuy somehow erasedeveryth second one hope keep stuff
148,4.0,still gb left came hard case fore protect
149,5.0,im use sd card samsung galaxi instead anoth one bought manufactur sandisk gb mobil microsdhc flash memori card sdsdqgaffp work perfectli sinc octob
150,2.0,use galaxi note past month sudden longer writabl tri mani way reformat card even window say format success file remain remov reinsert card sinc privat file card im abl delet want sent back sandisk replac
151,5.0,usual sandisk qualiti work expect deliv time problem work great android samsung tablet
152,5.0,put lumix camera work fast great complaint never issu highli recommend brand alway come
153,5.0,great product enough capac deliv perform happi product samsung galaxi phone
154,5.0,got cant beat price sandisk far alway reliabl two gb uh card older gb gb class class etc sandisk microsd includ standard sd usb thumb drive stood test one card think fail still abl recov data write anymor im pretti hard rewrit media say
155,5.0,great memori card use along roku work great fast transfer rate good capac reason price els could ask
156,4.0,cannot go wrong sandisk date work advertis price wasnt great cost save came amazon great reput date far concern purchas
157,5.0,awesom card glad abl use dslr
158,5.0,great storag size first adopt came thought sale price excel got dupe price sinc first introduc great action cam batteri ran ran memori
159,4.0,problem storag speed difficulti insert card kingston reader believ due sticker cover someth one side microsd kind problem reader
160,4.0,replac one crap tablet take app hour time
161,5.0,bought gift hubbi seem quit well happi hasnt given issu certainli use lot informationmedia smartphon sinc techi lol
162,5.0,exactli need galaxi word warningwith kitkat prevent app edit chang delet anyth sd card stock app come phone download one abl trick pic movi whatev copi phone intern storag delet fix come non root work around oper system
163,3.0,work great galaxi suntil didnt work unknown reason use month crap back data thing though
164,5.0,use camera travel gb take bunch accessori also use cell phone
165,5.0,enough storag dslrrealli low price class cardu use sever make linux base ssd
166,5.0,handi gb good size even though mani devic claim support gb card mani actual support g cardi like sandisk brand alway trust say dont lemonbut happen everyth
167,5.0,bought raspberri pi larg enough run full lamp server price speed good bargain
168,5.0,good thank sandisky must gopro cam get benefit cam yap
169,4.0,use raspberri pi sd adapt work faralso appear genuin part although prolif sandisk counterfeit gotten realli sneaki recent yearsi like get microsdhc card adapt differ devic size exampl let say buy use phone eread need memori card im use pi take pi card take adapt put devic rather pay money wait week deliveri new one
170,5.0,pop move app card work great video handl quickli app start fast
